Portfolio,mean,VaR,ES
Call ,0.11459492087785388,4.358819995475528,4.435183558829772
CallSpread,-0.24187635841357405,3.6391529999943986,3.7152830380228377
CoveredCall,-0.15016255405604817,9.12875349268701,12.182152972281699
ProtectedPut,0.23942353238855885,4.143372070291107,4.201838157327507
Put ,0.27499116556675834,4.254978393679906,4.33424663338751
PutSpread,0.3964783863197916,2.674248137649369,2.742862768831721
Stock,-0.03556763317819374,13.487573488162539,16.61733653111147
Straddle,0.38958608644461457,2.44323247825181,2.452474213438497
SynLong,-0.1603962446889036,13.703021413346965,16.850681932613742
